method,metric,k,value,n_cases,run_id
BM25,Recall,1,0.4861111111111111,24,20260816T094822Z_retrieval_ablation_v1
BM25,Recall,3,0.6388888888888888,24,20260816T094822Z_retrieval_ablation_v1
BM25,Recall,5,0.7013888888888888,24,20260816T094822Z_retrieval_ablation_v1
BM25,Recall,10,0.8472222222222222,24,20260816T094822Z_retrieval_ablation_v1
BM25,DirectRecall,1,0.7708333333333334,24,20260816T094822Z_retrieval_ablation_v1
BM25,DirectRecall,3,0.9166666666666666,24,20260816T094822Z_retrieval_ablation_v1
BM25,DirectRecall,5,0.9375,24,20260816T094822Z_retrieval_ablation_v1
BM25,DirectRecall,10,1.0,24,20260816T094822Z_retrieval_ablation_v1
BM25,MRR,10,0.9357638888888888,24,20260816T094822Z_retrieval_ablation_v1
BM25,nDCG,3,0.7972283608860526,24,20260816T094822Z_retrieval_ablation_v1
BM25,nDCG,5,0.8198963965365371,24,20260816T094822Z_retrieval_ablation_v1
BM25,nDCG,10,0.8577375058846175,24,20260816T094822Z_retrieval_ablation_v1
Vector,Recall,1,0.4444444444444444,24,20260816T094822Z_retrieval_ablation_v1
Vector,Recall,3,0.7847222222222222,24,20260816T094822Z_retrieval_ablation_v1
Vector,Recall,5,0.9097222222222222,24,20260816T094822Z_retrieval_ablation_v1
Vector,Recall,10,0.9444444444444444,24,20260816T094822Z_retrieval_ablation_v1
Vector,DirectRecall,1,0.7708333333333334,24,20260816T094822Z_retrieval_ablation_v1
Vector,DirectRecall,3,0.9166666666666666,24,20260816T094822Z_retrieval_ablation_v1
Vector,DirectRecall,5,1.0,24,20260816T094822Z_retrieval_ablation_v1
Vector,DirectRecall,10,1.0,24,20260816T094822Z_retrieval_ablation_v1
Vector,MRR,10,0.9375,24,20260816T094822Z_retrieval_ablation_v1
Vector,nDCG,3,0.8305548231883765,24,20260816T094822Z_retrieval_ablation_v1
Vector,nDCG,5,0.8871091859148569,24,20260816T094822Z_retrieval_ablation_v1
Vector,nDCG,10,0.8941124902760009,24,20260816T094822Z_retrieval_ablation_v1
Hybrid-RRF,Recall,1,0.5069444444444444,24,20260816T094822Z_retrieval_ablation_v1
Hybrid-RRF,Recall,3,0.75,24,20260816T094822Z_retrieval_ablation_v1
Hybrid-RRF,Recall,5,0.8333333333333334,24,20260816T094822Z_retrieval_ablation_v1
Hybrid-RRF,Recall,10,0.9652777777777778,24,20260816T094822Z_retrieval_ablation_v1
Hybrid-RRF,DirectRecall,1,0.8125,24,20260816T094822Z_retrieval_ablation_v1
Hybrid-RRF,DirectRecall,3,1.0,24,20260816T094822Z_retrieval_ablation_v1
Hybrid-RRF,DirectRecall,5,1.0,24,20260816T094822Z_retrieval_ablation_v1
Hybrid-RRF,DirectRecall,10,1.0,24,20260816T094822Z_retrieval_ablation_v1
Hybrid-RRF,MRR,10,0.9791666666666666,24,20260816T094822Z_retrieval_ablation_v1
Hybrid-RRF,nDCG,3,0.873998167962109,24,20260816T094822Z_retrieval_ablation_v1
Hybrid-RRF,nDCG,5,0.8982652241320693,24,20260816T094822Z_retrieval_ablation_v1
Hybrid-RRF,nDCG,10,0.9233146363717571,24,20260816T094822Z_retrieval_ablation_v1
Hybrid+Reranker,Recall,1,0.5208333333333334,24,20260816T094822Z_retrieval_ablation_v1
Hybrid+Reranker,Recall,3,0.8263888888888888,24,20260816T094822Z_retrieval_ablation_v1
Hybrid+Reranker,Recall,5,0.9652777777777778,24,20260816T094822Z_retrieval_ablation_v1
Hybrid+Reranker,Recall,10,0.9791666666666666,24,20260816T094822Z_retrieval_ablation_v1
Hybrid+Reranker,DirectRecall,1,0.9166666666666666,24,20260816T094822Z_retrieval_ablation_v1
Hybrid+Reranker,DirectRecall,3,1.0,24,20260816T094822Z_retrieval_ablation_v1
Hybrid+Reranker,DirectRecall,5,1.0,24,20260816T094822Z_retrieval_ablation_v1
Hybrid+Reranker,DirectRecall,10,1.0,24,20260816T094822Z_retrieval_ablation_v1
Hybrid+Reranker,MRR,10,1.0,24,20260816T094822Z_retrieval_ablation_v1
Hybrid+Reranker,nDCG,3,0.9331447393041042,24,20260816T094822Z_retrieval_ablation_v1
Hybrid+Reranker,nDCG,5,0.9709015305089882,24,20260816T094822Z_retrieval_ablation_v1
Hybrid+Reranker,nDCG,10,0.9739378727452983,24,20260816T094822Z_retrieval_ablation_v1
Hybrid Candidate Pool,Hybrid Candidate Pool Recall,,0.9791666666666666,24,20260816T094822Z_retrieval_ablation_v1
