user.index,primary_rows,none,walking,antisedentary
1,106,40,35,31
2,151,65,51,35
3,133,55,48,30
4,149,48,58,43
5,184,89,57,38
6,129,59,37,33
7,181,63,74,44
8,183,61,68,54
9,185,87,50,48
10,170,73,48,49
11,175,76,60,39
12,158,67,52,39
13,141,54,44,43
14,135,67,36,32
15,103,41,36,26
16,167,74,51,42
17,182,72,65,45
18,167,70,52,45
19,188,81,55,52
20,191,84,56,51
21,181,67,69,45
22,174,69,63,42
23,165,64,61,40
24,153,60,48,45
25,160,71,53,36
26,172,67,68,37
27,160,50,59,51
28,166,74,50,42
29,171,72,48,51
30,156,66,55,35
31,63,31,12,20
32,172,70,59,43
33,137,57,45,35
34,179,67,62,50
35,191,65,63,63
36,156,45,61,50
37,171,76,60,35
